#{"t_start": 1701938071.153871, "env_id": "manipulator_mujoco/UR5eSBEnvPos-v0"}
r,l,t
-48.220356,21,5.01832
-36.897277,21,6.646874
-76.533875,21,8.305948
-53.382633,21,9.968163
-38.160443,21,12.515933
-52.262818,21,14.715852
-94.000912,21,16.896196
-95.780343,21,19.311141
-54.958314,21,21.550356
-76.377359,21,23.787196
-51.345595,21,25.985863
-62.878823,21,28.249674
-38.191202,21,30.475167
-35.418722,21,32.604777
-68.258473,21,34.777048
-29.778837,21,36.859012
-63.898222,21,38.926631
48.650283,11,40.022266
-40.163775,21,42.087759
-70.618683,21,44.181888
-40.201475,21,46.286074
-81.708772,21,48.33663
-33.516448,21,50.490185
-53.336913,21,52.587282
-42.141161,21,54.656279
-51.583189,21,56.728725
-42.662955,21,58.838299
-73.663134,21,60.997633
-50.44184,21,63.114234
-57.410497,21,65.167624
-45.331984,21,67.370198
-58.267926,21,69.416411
-39.422145,21,71.457281
-44.015095,21,73.508129
-43.498732,21,75.56604
-35.296246,21,77.699323
-68.527492,21,79.762318
-77.730998,21,81.816179
-67.90118,21,83.884253
-47.754748,21,85.932734
-82.450645,21,88.120933
-23.049739,21,90.16451
-54.14147,21,92.298696
-61.688297,21,94.365538
-53.934573,21,96.622057
-95.616145,21,98.761424
-86.820983,21,100.825058
-44.763813,21,102.862191
-68.44401,21,104.916933
-49.536276,21,107.029102
-45.397184,21,109.214011
-76.937817,21,111.281838
-61.383702,21,113.452772
57.282639,7,114.209062
-66.516983,21,116.310791
-44.885714,21,118.36858
-52.158244,21,120.425837
-77.892795,21,122.46725
-71.336371,21,124.527308
-37.636626,21,126.696669
-47.846411,21,128.770202
-56.265583,21,130.870012
-57.857307,21,132.9186
-69.368695,21,135.070599
-50.572496,21,137.212067
-44.17614,21,139.376384
-43.000967,21,141.534518
-42.672094,21,143.723328
-50.095179,21,145.788417
-34.418608,21,147.857143
-40.305276,21,149.939375
-38.75628,21,151.987797
-46.490785,21,154.122161
-53.602338,21,156.215552
-61.984454,21,158.304828
-30.179401,21,160.445547
-49.397648,21,162.561679
-48.17108,21,164.814934
-46.042109,21,167.129239
-55.858002,21,169.333303
-49.057841,21,171.533233
-40.676873,21,174.01996
-50.447737,21,176.214294
-69.514569,21,178.752422
-55.809129,21,180.899686
-38.830046,21,183.198905
-50.535667,21,185.369864
-28.53666,21,187.744029
-60.29732,21,189.849933
-23.120834,21,192.076164
-44.780576,21,194.230308
-57.131334,21,196.573007
-63.566633,21,198.831833
-49.546719,21,200.92159
-67.590851,21,203.173585
53.43367,10,204.27377
-55.886203,21,206.527899
-69.971917,21,208.897593
-50.222312,21,211.169721
-45.530651,21,213.475558
-88.340863,21,215.669561
-44.845905,21,217.908616
-34.784955,21,220.135931
-35.920918,21,222.360364
-46.602225,21,224.54063
-32.882741,21,226.838355
-31.380462,21,229.054657
-39.443616,21,231.409911
-71.696353,21,233.666961
-52.913494,21,235.914579
-38.704414,21,238.107118
-45.36332,21,240.342802
-32.119607,21,242.780348
-28.271256,21,245.045443
-40.288017,21,247.318252
-29.825956,21,249.586318
-45.063482,21,251.8206
53.780186,10,252.840515
-44.999091,21,255.016258
59.818104,2,255.225163
-58.390586,21,257.399315
-40.231092,21,259.544101
-44.329655,21,261.817096
-47.689714,21,263.996332
-60.20813,21,266.211327
-38.118023,21,268.35456
